date,truck_num,weight
2020-01-03,truck1,260
2020-01-03,truck1,95
2020-01-03,truck1,40
2020-01-03,truck1,85
2020-01-03,truck1,290
2020-01-03,truck1,425
2020-01-03,truck1,165
2020-01-03,truck1,275
2020-01-03,truck1,305
2020-01-03,truck1,425
2020-01-03,truck1,240
2020-01-03,truck1,250
2020-01-03,truck1,235
2020-01-03,truck1,310
2020-01-03,truck1,300
2020-01-03,truck1,335
2020-01-03,truck1,290
2020-01-03,truck1,140
2020-01-03,truck1,300
2020-01-03,truck1,610
2020-01-03,truck1,290
2020-01-03,truck1,575
2020-01-03,truck1,555
2020-01-03,truck1,300
2020-01-03,truck1,420
2020-01-03,truck1,285
2020-01-03,truck1,290
2020-01-03,truck1,405
2020-01-03,truck1,385
2020-01-03,truck1,95
2020-01-03,truck1,110
2020-01-03,truck1,35
2020-01-03,truck1,65
2020-01-03,truck1,440
2020-01-03,truck1,410
2020-01-03,truck1,385
2020-01-03,truck1,200
2020-01-03,truck1,310
2020-01-03,truck1,415
2020-01-03,truck2,2620
2020-01-03,truck2,2800
2020-01-03,truck2,2585
2020-01-03,truck2,2540
2020-01-03,truck2,375
2020-01-03,truck2,380
2020-01-03,truck2,355
2020-01-03,truck2,340
2020-01-03,truck2,320
2020-01-03,truck2,235
2020-01-03,truck2,260
2020-01-03,truck2,230
2020-01-03,truck2,310
2020-01-03,truck2,715
2020-01-03,truck2,795
2020-01-03,truck2,835
2020-01-03,truck2,800
2020-01-03,truck2,1080
2020-01-03,truck2,640
2020-01-03,truck2,70
2020-01-03,truck2,1100
2020-01-03,truck2,295
2020-01-03,truck2,300
2020-01-03,truck2,275
2020-01-03,truck2,5
2020-01-03,truck2,320
2020-01-03,truck2,290
2020-01-03,truck2,300
2020-01-03,truck2,95
2020-01-03,truck2,315
2020-01-03,truck2,310
2020-01-03,truck2,265
2020-01-03,truck2,405
2020-01-03,truck2,30
2020-01-03,truck2,315
2020-01-03,truck2,305
2020-01-03,truck2,200
2020-01-03,truck2,135
2020-01-03,truck2,1005
2020-01-03,truck2,820
2020-01-03,truck2,470
2020-01-03,truck2,670
2020-01-03,truck2,385
2020-01-03,truck2,220
2020-01-03,truck2,520
2020-01-03,truck2,685
2020-01-03,truck2,575
2020-01-03,truck2,665
2020-01-03,truck2,365
2020-01-03,truck2,695
